"","data_product","data_table","data_column","variable","data_type","questions"
"91","ISCN3","layer","layer_bot (cm)","depth_lower","value_number","NA"
"92","ISCN3","profile","carbon_lcount","carbon_count","value_number","NA"
"93","ISCN3","dataset","total_lcount","total_count","value_number","NA"
"94","ISCN3","profile","total_lcount","total_count","value_number","NA"
"95","ISCN3","layer","layer_name","layer_name","id","NA"
"96","ISCN3","layer","layer_note","layer_note","note","NA"
"97","ISCN3","dataset","soc_lcount","soil_organic_carbon_count","method","NA"
"98","ISCN3","profile","soc_lcount","soil_organic_carbon_count","method","NA"
"99","ISCN3","layer","layer_top (cm)","depth_upper","value_number","NA"
"100","ISCN3","profile","locator_alias","locator_alias","value_string","?"
"101","ISCN3","profile","locator_parent_alias","locator_parent_alias","value_string","?"
"102","ISCN3","layer","locator_parent_alias","locator_parent_alias","value_string","?"
"103","ISCN3","layer","loi (percent)","loss_on_ignition","value_number","NA"
"104","ISCN3","profile","long (dec. deg)","longitude","value_number","NA"
"105","ISCN3","layer","long (dec. deg)","longitude","value_number","NA"
"106","ISCN3","profile","map (mm)","mean_annual_precipitation","value_number","NA"
"107","ISCN3","profile","mat (°C)","mean_annual_temperature","value_number","NA"
"108","ISCN3","layer","mg_ext (specified by bc_units)","mg_ext","value_number","What does ISCN3::mg_ext mean?"
"109","ISCN3","layer","bc_units (extract_units)","mg_ext","unit","NA"
"110","ISCN3","layer","bc_method","mg_ext","method","NA"
"111","ISCN3","layer","mn_dith (specified by al_fe_units)","extractable_mn","value_number","NA"
"112","ISCN3","layer","mn_other (specified by al_fe_units)","extractable_mn","value_number","NA"
"113","ISCN3","layer","mn_ox (specified by al_fe_units)","extractable_mn","value_number","NA"
"114","ISCN3","layer","al_fe_units (extract_units)","extractable_mn","unit","NA"
"115","ISCN3","layer","al_fe_method","extractable_mn","method","NA"
"116","ISCN3","citation","modification_date (YYYY-MM-DD)","modification_date","value_date","NA"
"117","ISCN3","dataset","modification_date (YYYY-MM-DD)","modification_date","value_date","NA"
"118","ISCN3","layer","n_tot (percent)","nitrogen_total","value_number","NA"
"119","ISCN3","layer","na_ext (specified by bc_units)","extractable_na","value_number","NA"
"120","ISCN3","layer","bc_units (extract_units)","extractable_na","unit","NA"
"121","ISCN3","layer","bc_method","extractable_na","method","NA"
