study_code,,,study_code,,,,,,,,,,,,,,,,,,,,,,
title,,,title,,,,,,,,,,,,,,,,,,,,,,
abstract,,,abstract,,,,,,,,,,,,,,,,,,,,,,
key_words,,,key_words,,,,,,,,,,,,,,,,,,,,,,
last_name,,,last_name,,,,,,,,,,,,,,,,,,,,,,
given_name,,,given_name,,,,,,,,,,,,,,,,,,,,,,
institution,,,institution,,,,,,,,,,,,,,,,,,,,,,
email,,,email,,,,,,,,,,,,,,,,,,,,,,
address,,,address,,,,,,,,,,,,,,,,,,,,,,
phone,,,phone,,,,,,,,,,,,,,,,,,,,,,
corresponding_author,,,corresponding_author,,,,,,,,,,,,,,,,,,,,,,
funding_agency,,,funding_agency,,funding_organizationA28,,,,,,,,,,,,,,,,,,,,
funding_id,,,funding_id,,,,,,,,,,,,,,,,,,,,,,
funding_notes,,,funding_notes,,,,,,,,,,,,,,,,,,,,,,
citation,,,bibtex_citation,,"citation, citation_usage",,,,,,,,,,,,,,,,,,,,
year,,,year,,,,,,,,,,,,,,,,,,,,,,
journal,,,journal,,,,,,,,,,,,,,,,,,,,,,
volume,,,volume,,,,,,,,,,,,,,,,,,,,,,
number,,,number,,,,,,,,,,,,,,,,,,,,,,
pages,,,pages,,,,,,,,,,,,,,,,,,,,,,
url,,,url,,,,,,,,,,,,,,,,,,,,,,
doi,,,doi,,,doi,,,,,,,,,,,,,,,,,,,
annote,,,annote,,,,,,,,,,,,,,,,,,,,,,
booktitle,,,booktitle,,,,,,,,,,,,,,,,,,,,,,
chapter,,,chapter,,,,,,,,,,,,,,,,,,,,,,
crossref,,,crossref,,,,,,,,,,,,,,,,,,,,,,
edition,,,edition,,,,,,,,,,,,,,,,,,,,,,
editor,,,editor,,,,,,,,,,,,,,,,,,,,,,
howpublished,,,howpublished,,,,,,,,,,,,,,,,,,,,,,
key ,,,key ,,,,,,,,,,,,,,,,,,,,,,
month,,,month,,,,,,,,,,,,,,,,,,,,,,
note,,,note,,,,,,,,,,,,,,,,,,,,,,
organization,,,organization,,,,,,,,,,,,,,,,,,,,,,
publisher,,,publisher,,,,,,,,,,,,,,,,,,,,,,
school,,,school,,,,,,,,,,,,,,,,,,,,,,
series,,,series,,,,,,,,,,,,,,,,,,,,,,
type,,,type,,,,,,,,,,,,,,,,,,,,,,
sediment_sieved_flag,,,sediment_sieved_flag,,,,,,,,,,,,,,,,,,,,,,
sediment_sieve_size,,,sediment_sieve_size,,,,,,,,,,,,,,,,,,,,,,
dry_bulk_density_sample_volume,,,dry_bulk_density_sample_volume,,,,,,,,,,,,,,,,,,,,,,
dry_bulk_density_sample_mass,,,dry_bulk_density_sample_mass,,,,,,,,,,,,,,,,,,,,,,
loss_on_ignition_sample_volume,,,loss_on_ignition_sample_volume,,,,,,,,,,,,,,,,,,,,,,
loss_on_ignition_sample_mass,,,loss_on_ignition_sample_mass,,,,,,,,,,,,,,,,,,,,,,
fraction_carbon_method,,,fraction_carbon_method,,,,,,,,,,,,,,,,,,,,,,
carbon_profile_notes,,,carbon_profile_notes,,,,,,,,,,,,,,,,,,,,,,
cs137_counting_method,,,cs137_counting_method,,,,,,,,,,,,,,,,,,,,,,
pb210_counting_method,,,pb210_counting_method,,,,,,,,,,,,,,,,,,,,,,
excess_pb210_rate,,,excess_pb210_rate,,,,,,,,,,,,,,,,,,,,,,
excess_pb210_model,,,excess_pb210_model,,,,,,,,,,,,,,,,,,,,,,
ra226_assumption,,,ra226_assumption,,,,,,,,,,,,,,,,,,,,,,
c14_counting_method,,,c14_counting_method,,,,,,,,,,,,,,,,,,,,,,
dating_notes,,,dating_notes,,,,,,,,,,,,,,,,,,,,,,
age_depth_model_reference,,,age_depth_model_reference,,,,,,,,,,,,,,,,,,,,,,
age_depth_model_notes,,,age_depth_model_notes,,,,,,,,,,,,,,,,,,,,,,
site_description,,,site_description,,site_note,site_note,,,,,,,,,,,,,,,,,,,
site_boundaries,,,site_boundaries,,,,,,,,,,,,,,,,,,,,,,
salinity_class,,,salinity_class,,,,,,,,,,,,,,,,,,,,,,
salinity_method,,,salinity_method,,,,,,,,,,,,,,,,,,,,,,
salinity_notes,,,salinity_notes,,,,,,,,,,,,,,,,,,,,,,
vegetation_class,,,vegetation_class,,vegclass_nat,,,,,,,,,,,,,,,,,,,,
vegetation_class,,,,,vegclass,,,,,,,,,,,,,,,,,,,,
vegetation_class,,,,,vegclass_local,,,,,,,,,,,,,,,,,,,,
vegetation_method,,,vegetation_method,,vegclass_local_type,,,,,,,,,,,,,,,,,,,,
vegetation_notes,,,vegetation_notes,,veg_note,pro_veg_note,,,,,,,,,,,,,,,,,,,
inundation_class,,,inundation_class,,,,,,,,,,,,,,,,,,,,,,
inundation_method,,,inundation_method,,,,,,,,,,,,,,,,,,,,,,
inundation_notes,,,inundation_notes,,,,,,,,,,,,,,,,,,,,,,
core_date,,,core_date,,,,,,,,,,,,,,,,,,,,,,
core_notes,,,core_notes,,,,,,,,,,,,,,,,,,,,,,
core_latitude,,,core_latitude,,,,,,,,,,,,,,,,,,,,,,
core_longitude,,,core_longitude,,,,,,,,,,,,,,,,,,,,,,
core_position_accuracy,,,core_position_accuracy,,,,,,,,,,,,,,,,,,,,,,
core_position_method,,,core_position_method,,,,,,,,,,,,,,,,,,,,,,
core_position_notes,,,core_position_notes,,,,,,,,,,,,,,,,,,,,,,
core_elevation_datum,,,core_elevation_datum,,,,,,,,,,,,,,,,,,,,,,
core_elevation_accuracy,,,core_elevation_accuracy,,,,,,,,,,,,,,,,,,,,,,
core_elevation_method,,,core_elevation_method,,,,,,,,,,,,,,,,,,,,,,
core_elevation_notes,,,core_elevation_notes,,,,,,,,,,,,,,,,,,,,,,
core_length_flag,,,core_length_flag,,,,,,,,,,,,,,,,,,,,,,
sample_id,,,sample_id,,,,,,,,,,,,,,,,,,,,,,
compaction_fraction,,,compaction_fraction,,,,,,,,,,,,,,,,,,,,,,
compaction_notes,,,compaction_notes,,,,,,,,,,,,,,,,,,,,,,
cs137_activity,,,cs137_activity,,,,,,,,,,,,,,,,,,,,,,
cs137_activity_sd,,,cs137_activity_sd,,,,,,,,,,,,,,,,,,,,,,
total_pb210_activity,,,total_pb210_activity,,,,,,,,,,,,,,,,,,,,,,
total_pb210_activity_sd,,,total_pb210_activity_sd,,,,,,,,,,,,,,,,,,,,,,
ra226_activity,,,ra226_activity,,,,,,,,,,,,,,,,,,,,,,
ra226_activity_sd,,,ra226_activity_sd,,,,,,,,,,,,,,,,,,,,,,
excess_pb210_activity,,,excess_pb210_activity,,,,,,,,,,,,,,,,,,,,,,
excess_pb210_activity_sd,,,excess_pb210_activity_sd,,,,,,,,,,,,,,,,,,,,,,
c14_age,,,c14_age,,,,,,,,,,,,,,,,,,,,,,
c14_age_sd,,,c14_age_sd,,,,,,,,,,,,,,,,,,,,,,
c14_material,,,c14_material,,,,,,,,,,,,,,,,,,,,,,
c14_notes,,,c14_notes,,,,,,,,,,,,,,,,,,,,,,
delta_c13,,,delta_c13,,,,,,,,,,,,,,,,,,,,,,
be7_activity,,,be7_activity,,,,,,,,,,,,,,,,,,,,,,
be7_activity_sd,,,be7_activity_sd,,,,,,,,,,,,,,,,,,,,,,
am241_activity,,,am241_activity,,,,,,,,,,,,,,,,,,,,,,
am241_activity_sd,,,am241_activity_sd,,,,,,,,,,,,,,,,,,,,,,
marker_date,,,marker_date,,,,,,,,,,,,,,,,,,,,,,
marker_type,,,marker_type,,,,,,,,,,,,,,,,,,,,,,
marker_notes,,,marker_notes,,,,,,,,,,,,,,,,,,,,,,
age,,,age,,,,,,,,,,,,,,,,,,,,,,
age_min,,,age_min,,,,,,,,,,,,,,,,,,,,,,
age_max,,,age_max,,,,,,,,,,,,,,,,,,,,,,
age_sd,,,age_sd,,,,,,,,,,,,,,,,,,,,,,
depth_interval_notes,,,depth_interval_notes,,,,,,,,,,,,,,,,,,,,,,
species_code,,,species_code,,,,,,,,,,,,,,,,,,,,,,
impact_class,,,impact_class,,,,,,,,,,,,,,,,,,,,,,
genus,,,genus,,,,,,,,,,,,,,,,,,,,,,
sub_species,,,sub_species,,,,,,,,,,,,,,,,,,,,,,
hybrid,,,hybrid,,,,,,,,,,,,,,,,,,,,,,
common_name,,,common_name,,,,,,,,,,,,,,,,,,,,,,
species_notes,,,species_notes,,,,,,,,,,,,,,,,,,,,,,
state_country,state.country,,,,"(state/province, country)",,,,,,,,,,,,,,,,,,,,
site,site,,,,site_name,,,,,,,,,,,,,,,,,,,,
project,project,,,,,,,,,,,,,,,,,,,,,,,,
technique,technique,,,,,,,,,,,,,,,,,,,,,,,,
season,season,,,,,,,,,,,,,,,,,,,,,,,,
sub_biome,sub.biome,,,,,,,,,,,,,,,,,,,,,,,,
soil_type,soil.type,,,,,,,,,,,,,,,,,,,,,,,,
soil_texture_class,soil.texture.class,,,,,,,,,,,,,,,,,,,,,,,,
start_date,start.date,,,,,,,,,,,,,,,,,,,,,,,,
Carbon_pool_above_ground,C.pool.abg,,,,,,,,,,,,,,,,,,,,,,,,
Carbon_pool_below_ground,C.pool.bwg,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen_pool_above_ground,N.pool.abg,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen_pool_below_ground,N.pool.bwg,,,,,,,,,,,,,,,,,,,,,,,,
Phosphorus_pool_above_ground,P.pool.bwg,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen_deposition_rate,Ndep.rate,,,,,,,,,,,,,,,,,,,,,,,,
source,source,,,,,,,,,,,,,,,,,,,,,,,,
notes,notes,,,,,,,,,,,,,,,,,,,,,,,,
reference,"Reference, reference",,,,,,,,,,,,,,,,,,,,,,,,
technique,technique,,,,,,,,,,,,,,,,,,,,,,,,
season,season,,,,,,,,,,,,,,,,,,,,,,,,
treatment_size_below_ground,trt.size.bg,,,,,,,,,,,,,,,,,,,,,,,,
treatment_size_above_ground,trt.size.abg,,,,,,,,,,,,,,,,,,,,,,,,
treatment_size_units,trt.size.units,,,,,,,,,,,,,,,,,,,,,,,,
start_date,start.date,,,,,,,,,,,,,,,,,,,,,,,,
measurement_date,measurement.date,,,,,,,,,,,,,,,,,,,,,,,,
soil_horizon,soil.horizon,,,,,lyr_hzn,,,,,,,,,,,,,,,,,,,
percent_som,percent.som,,,,,,,,,,,,,,,,,,,,,,,,
remove,remove,,,,,,,,,,,,,,,,,,,,,,,,
multiyear,multi.year,,,,,,,,,,,,,,,,,,,,,,,,
control_mean,control.mean,,,,,,,,,,,,,,,,,,,,,,,,
control_standard_error,control.se,,,,,,,,,,,,,,,,,,,,,,,,
control_size,control.n,,,,,,,,,,,,,,,,,,,,,,,,
treatment_mean,trt.mean,,,,,,,,,,,,,,,,,,,,,,,,
treatment_standard_error,trt.se,,,,,,,,,,,,,,,,,,,,,,,,
treatment_size,trt.n,,,,,,,,,,,,,,,,,,,,,,,,
unit,unit,,,,,,,,,,,,,,,,,,,,,,,,
variable,variable,,,,,,,,,,,,,,,,,,,,,,,,
input,input,,,,,,,,,,,,,,,,,,,,,,,,
site_id,,Old Name,,,,,,,,,,,,,,,,,,,,,,,
detailed_site_id,,New Name,,,,,,,,,,,,,,,,,,,,,,,
average_control_temperature,,Avg. C Control,,,,,,,,,,,,,,,,,,,,,,,
average_warming_temperature,,Avg. W Control,,,,,,,,,,,,,,,,,,,,,,,
temperature_difference,,C Difference,,,,,,,,,,,,,,,,,,,,,,,
mean_temperature_change,,Mean delta T,,,,,,,,,,,,,,,,,,,,,,,
planned_warming_temperature,,Planned Warming,,,,,,,,,,,,,,,,,,,,,,,
average_bulk_density,,Bulk density avg.,,,,,,,,,,,,,,,,,,,,,,,
total_carbon,,total C,,,c_tot,,,,,,,,,,,,,,,,,,,,
total_raw_carbon,,total raw C,,,,,,,,,,,,,,,,,,,,,,,
precentage_nitrogen,,%N,,,,,,,,,,,,,,,,,,,,,,,
cation_exchange_capasity,,CEC(cmol/kg),,,cat_exch,,,,,,,,,,,,,,,,,,,,
location_acc,,,,,location_acc,,,,,,,,,,,,,,,,,,,,
landscape,,,,,landscape,,,,,,,,,,,,,,,,,,,,
landform,,,,,landform,,,,,,,,,,,,,,,,,,,,
2d_position,,,,,2d_position,,,,,,,,,,,,,,,,,,,,
landform_note,,,,,landform_note,,,,,,,,,,,,,,,,,,,,
parent,,,,,parent,,,,,,,,,,,,,,,,,,,,
aspect_deg,,,,,aspect_deg,,,,,,,,,,,,,,,,,,,,
aspect_cl,,,,,aspect_cl,,,,,,,,,,,,,,,,,,,,
slope,,,,,slope,pro_slope,,,,,,,,,,,,,,,,,,,
stand_age,,,,,stand_age,,,,,,,,,,,,,,,,,,,,
stand_maturity,,,,,stand_maturity,,,,,,,,,,,,,,,,,,,,
successional_status,,,,,successional_status,,,,,,,,,,,,,,,,,,,,
drainagecl,,,,,drainagecl,,,,,,,,,,,,,,,,,,,,
climate_station,,,,,climate_station,,,,,,,,,,,,,,,,,,,,
ffdays,,,,,ffdays,,,,,,,,,,,,,,,,,,,,
flood_freq,,,,,flood_freq,,,,,,,,,,,,,,,,,,,,
geo_form,,,,,geo_form,,,,,,,,,,,,,,,,,,,,
mast,,,,,mast,pro_MAST,,,,,,,,,,,,,,,,,,,
pond_freq,,,,,pond_freq,,,,,,,,,,,,,,,,,,,,
runoff,,,,,runoff,,,,,,,,,,,,,,,,,,,,
site_perm,,,,,site_perm,,,,,,,,,,,,,,,,,,,,
water_table_duration,,,,,water_table_duration,,,,,,,,,,,,,,,,,,,,
cflux_note,,,,,cflux_note,,,,,,,,,,,,,,,,,,,,
climate_note,,,,,climate_note,,,,,,,,,,,,,,,,,,,,
eco_note,,,,,eco_note,,,,,,,,,,,,,,,,,,,,
photo_note,,,,,photo_note,,,,,,,,,,,,,,,,,,,,
soiltemp_note,,,,,soiltemp_note,,,,,,,,,,,,,,,,,,,,
add_note,,,,,add_note,,,,,,,,,,,,,,,,,,,,
soc,,,,,soc,"pro_soc, lyr_soc",,,,,,,,,,,,,,,,,,,
soc_type,,,,,soc_type,,,,,,,,,,,,,,,,,,,,
soc_pcount,,,,,soc_pcount,,,,,,,,,,,,,,,,,,,,
soc_depth,,,,,soc_depth,pro_soc_depth,,,,,,,,,,,,,,,,,,,
soc_sigma,,,,,soc_sigma,pro_soc_sigma,,,,,,,,,,,,,,,,,,,
soc_sigma,,,,,,lyr_soc_sigma,,,,,,,,,,,,,,,,,,,
soc_method,,,,,soc_method,,,,,,,,,,,,,,,,,,,,
profile_name,,,,,profile_name,pro_name,,,,,,,,,,,,,,,,,,,
profile_name,,,,,,flx_name,,,,,,,,,,,,,,,,,,,
profile_note,,,,,profile_note,pro_note,,,,,,,,,,,,,,,,,,,
layer_method,,,,,layer_method,,,,,,,,,,,,,,,,,,,,
profile_method,,,,,profile_method,,,,,,,,,,,,,,,,,,,,
observation_date,,,,,observation_date,"(frc_obs_date_y, frc_obs_date_m, frc_obs_date_d)",,,,,,,,,,,,,,,,,,,
observation_date,,,,,,"(inc_obs_date_y, inc_obs_date_m, inc_obs_date_d)",,,,,,,,,,,,,,,,,,,
observation_date_acc,,,,,observation_date_acc,,,,,,,,,,,,,,,,,,,,
transect_flag,,,,,transect_flag,,,,,,,,,,,,,,,,,,,,
surface_veg,,,,,surface_veg,,,,,,,,,,,,,,,,,,,,
soil_taxon,,,,,soil_taxon,,,,,,,,,,,,,,,,,,,,
soil_series,,,,,soil_series,,,,,,,,,,,,,,,,,,,,
add_taxon_flag,,,,,add_taxon_flag,,,,,,,,,,,,,,,,,,,,
thaw_depth_profile,,,,,thaw_depth_profile,,,,,,,,,,,,,,,,,,,,
profile_properties_note,,,,,profile_properties_note,,,,,,,,,,,,,,,,,,,,
sampler_names,,,,,sampler_names,,,,,,,,,,,,,,,,,,,,
soc_lcount,,,,,soc_lcount,,,,,,,,,,,,,,,,,,,,
layer_name,,,,,layer_name,,,,,,,,,,,,,,,,,,,,
layer_addition,,,,,layer_addition,,,,,,,,,,,,,,,,,,,,
layer_top,,,,,layer_top,lyr_top,,,,,,,,,,,,,,,,,,,
layer_bot,,,,,layer_bot,lyr_bot,,,,,,,,,,,,,,,,,,,
hzn_desgn,,,,,hzn_desgn,,,,,,,,,,,,,,,,,,,,
hzn_desgn_other,,,,,hzn_desgn_other,,,,,,,,,,,,,,,,,,,,
hzn_desgn_other_note,,,,,hzn_desgn_other_note,,,,,,,,,,,,,,,,,,,,
layer_note,,,,,layer_note,lyr_note,,,,,,,,,,,,,,,,,,,
c_method,,,,,c_method,,,,,,,,,,,,,,,,,,,,
color,,,,,color,lyr_color,,,,,,,,,,,,,,,,,,,
burn_ev,,,,,burn_ev,lyr_burn_ev,,,,,,,,,,,,,,,,,,,
bd_method,,,,,bd_method,,,,,,,,,,,,,,,,,,,,
ph_method,,,,,ph_method,lyr_ph_method,,,,,,,,,,,,,,,,,,,
caco3,,,,,caco3,,,,,,,,,,,,,,,,,,,,
wpg2_method,,,,,wpg2_method,,,,,,,,,,,,,,,,,,,,
wpg2 ,,,,,wpg2 ,,,,,,,,,,,,,,,,,,,,
gwc,,,,,gwc,,,,,,,,,,,,,,,,,,,,
vwc,,,,,vwc,,,,,,,,,,,,,,,,,,,,
al_dith,,,,,al_dith,,,,,,,,,,,,,,,,,,,,
al_ox,,,,,al_ox,lyr_al_ox,,,,,,,,,,,,,,,,,,,
al_ox,,,,,,frc_al_ox,,,,,,,,,,,,,,,,,,,
al_other,,,,,al_other,,,,,,,,,,,,,,,,,,,,
fe_dith,,,,,fe_dith,,,,,,,,,,,,,,,,,,,,
fe_ox,,,,,fe_ox,lyr_fe_ox,,,,,,,,,,,,,,,,,,,
fe_ox,,,,,,frc_fe_ox,,,,,,,,,,,,,,,,,,,
fe_other,,,,,fe_other,,,,,,,,,,,,,,,,,,,,
mn_dith,,,,,mn_dith,,,,,,,,,,,,,,,,,,,,
mn_ox,,,,,mn_ox,,,,,,,,,,,,,,,,,,,,
mn_other,,,,,mn_other,,,,,,,,,,,,,,,,,,,,
al_fe_units,,,,,al_fe_units,,,,,,,,,,,,,,,,,,,,
al_fe_method,,,,,al_fe_method,,,,,,,,,,,,,,,,,,,,
ca_al,,,,,ca_al,,,,,,,,,,,,,,,,,,,,
ca_ext,,,,,ca_ext,,,,,,,,,,,,,,,,,,,,
k_ext,,,,,k_ext,,,,,,,,,,,,,,,,,,,,
mg_ext,,,,,mg_ext,,,,,,,,,,,,,,,,,,,,
na_ext,,,,,na_ext,,,,,,,,,,,,,,,,,,,,
bc_units,,,,,bc_units,,,,,,,,,,,,,,,,,,,,
bc_method,,,,,bc_method,,,,,,,,,,,,,,,,,,,,
base_sum,,,,,base_sum,,,,,,,,,,,,,,,,,,,,
cec_sum,,,,,cec_sum,,,,,,,,,,,,,,,,,,,,
ecec,,,,,ecec,,,,,,,,,,,,,,,,,,,,
cec_h_units,,,,,cec_h_units,,,,,,,,,,,,,,,,,,,,
bs,,,,,bs,,,,,,,,,,,,,,,,,,,,
bs_sum,,,,,bs_sum,,,,,,,,,,,,,,,,,,,,
h_ext,,,,,h_ext,,,,,,,,,,,,,,,,,,,,
zn_ext,,,,,zn_ext,,,,,,,,,,,,,,,,,,,,
metal_ext_units,,,,,metal_ext_units,,,,,,,,,,,,,,,,,,,,
metal_ext_method,,,,,metal_ext_method,,,,,,,,,,,,,,,,,,,,
p_bray,,,,,p_bray,,,,,,,,,,,,,,,,,,,,
p_ox,,,,,p_ox,,,,,,,,,,,,,,,,,,,,
p_meh,,,,,p_meh,,,,,,,,,,,,,,,,,,,,
p_other,,,,,p_other,,,,,,,,,,,,,,,,,,,,
p_units,,,,,p_units,lyr_p_units,,,,,,,,,,,,,,,,,,,
p_method,,,,,p_method,lyr_p_method,,,,,,,,,,,,,,,,,,,
fraction_c_perc,,,,,fraction_c_perc,frc_c_perc,,,,,,,,,,,,,,,,,,,
nitrogen_tot,,,,,n_tot,lyr_n_tot,,,,,,,,,,,,,,,,,,,
nitrogen_tot,,,,,,frc_n_tot,,,,,,,,,,,,,,,,,,,
c_to_n,,,,,c_to_n,lyr_c_to_n,,,,,,,,,,,,,,,,,,,
c_to_n,,,,,,frc_c_to_n,,,,,,,,,,,,,,,,,,,
loi,,,,,loi,lyr_loi,,,,,,,,,,,,,,,,,,,
root_quant_size,,,,,root_quant_size,,,,,,,,,,,,,,,,,,,,
root_weight,,,,,root_weight,,,,,,,,,,,,,,,,,,,,
15n,,,,,15n,lyr_15n,,,,,,,,,,,,,,,,,,,
15n,,,,,,frc_15n,,,,,,,,,,,,,,,,,,,
13c,,,,,13c,flx_13c,,,,,,,,,,,,,,,,,,,
13c,,,,,,lyr_13c,,,,,,,,,,,,,,,,,,,
13c,,,,,,frc_13c,,,,,,,,,,,,,,,,,,,
13c,,,,,,inc_13c,,,,,,,,,,,,,,,,,,,
rc_lab,,,,,rc_lab,flx_rc_lab,,,,,,,,,,,,,,,,,,,
rc_lab,,,,,,lyr_rc_lab,,,,,,,,,,,,,,,,,,,
rc_lab,,,,,,frc_rc_lab,,,,,,,,,,,,,,,,,,,
rc_lab,,,,,,inc_rc_lab,,,,,,,,,,,,,,,,,,,
rc_lab_number,,,,,rc_lab_number,flx_rc_lab_number,,,,,,,,,,,,,,,,,,,
rc_lab_number,,,,,,lyr_rc_lab_number,,,,,,,,,,,,,,,,,,,
rc_lab_number,,,,,,frc_rc_lab_number,,,,,,,,,,,,,,,,,,,
rc_lab_number,,,,,,inc_rc_lab_number,,,,,,,,,,,,,,,,,,,
rc_year,,,,,rc_year,flx_rc_year,,,,,,,,,,,,,,,,,,,
rc_year,,,,,,lyr_rc_year,,,,,,,,,,,,,,,,,,,
14c,,,,,14c,flx_14c,,,,,,,,,,,,,,,,,,,
14c,,,,,,lyr_14c,,,,,,,,,,,,,,,,,,,
14c,,,,,,frc_14c,,,,,,,,,,,,,,,,,,,
14c,,,,,,inc_14c,,,,,,,,,,,,,,,,,,,
14c_sigma,,,,,14c_sigma,lyr_14c_sigma,,,,,,,,,,,,,,,,,,,
14c_sigma,,,,,,flx_14c_sigma,,,,,,,,,,,,,,,,,,,
14c_sigma,,,,,,frc_14c_sigma,,,,,,,,,,,,,,,,,,,
14c_sigma,,,,,,inc_14c_sigma,,,,,,,,,,,,,,,,,,,
