variable_location,data_product,data_table,data_column,variable
column_name,ISCN3,citation,modification_date (YYYY-MM-DD),modification_date
column_name,ISCN3,dataset,modification_date (YYYY-MM-DD),modification_date
column_name,ISCN3,layer,n_tot (percent),nitrogen_total
column_name,ISCN3,layer,na_ext (specified by bc_units),sodium_ extractable
column_name,ISCN3,layer,bc_units (extract_units),sodium_ extractable
column_name,ISCN3,layer,bc_method,sodium_ extractable
column_name,ISCN3,profile,observation_date (YYYY-MM-DD),observation_date
column_name,ISCN3,layer,observation_date (YYYY-MM-DD),observation_date
column_name,ISCN3,layer,oc (percent),carbon_organic
column_name,ISCN3,layer,p_bray (specified by p_units),phosphorus_extractable_bray
column_name,ISCN3,layer,p_meh (specified by p_units),phosphorus_extractable_meh
column_name,ISCN3,layer,p_other (specified by p_units),phosphorus_extractable_other
column_name,ISCN3,layer,p_ox (specified by p_units),phosphorus_extractable_oxalate
column_name,ISCN3,layer,p_units (extract_units),phosphorus_extractable_units
column_name,ISCN3,layer,p_method,phosphorus_extractable_method
column_name,ISCN3,layer,ph_method,pH
column_name,ISCN3,layer,ph_cacl,pH
column_name,ISCN3,layer,ph_h2o,pH
column_name,ISCN3,layer,ph_other,pH
column_name,ISCN3,dataset,soc_pcount_ISCN,soil_organic_carbon_ISCN_count
column_name,ISCN3,profile,layer_bot (cm),depth_lower
column_name,ISCN3,dataset,total_pcount,total_count
column_name,ISCN3,profile,profile_name,profile_name
column_name,ISCN3,layer,profile_name,profile_name
column_name,ISCN3,profile,dataset_name_soc,soil_organic_carbon
column_name,ISCN3,profile,soc (g cm-2),soil_organic_carbon
column_name,ISCN3,profile,soc_method,soil_organic_carbon
column_name,ISCN3,profile,soc_carbon_flag,soil_organic_carbon
column_name,ISCN3,dataset,soc_pcount,soil_organic_carbon_count
column_name,ISCN3,profile,soc_depth (cm),soil_organic_carbon_depth
column_name,ISCN3,profile,soc_spatial_flag,soil_organic_carbon_spatial_flag
column_name,ISCN3,profile,layer_top (cm),depth_upper
column_name,ISCN3,profile,profile_zero_ref (profile_zero_ref),zero_reference
column_name,ISCN3,citation,reference,reference
column_name,ISCN3,layer,root_quant_size,root_quant_size
column_name,ISCN3,layer,root_weight (g),root_weight
column_name,ISCN3,profile,runoff (runoff),runoff
column_name,ISCN3,layer,sand_tot_psa (percent),sand
column_name,ISCN3,layer,silt_tot_psa (percent),silt
column_name,ISCN3,dataset,soc_scount_ISCN,soil_organic_carbon_ISCN_count
column_name,ISCN3,dataset,total_scount,total_site_count
column_name,ISCN3,profile,site_name,site
column_name,ISCN3,layer,site_name,site
column_name,ISCN3,profile,site_note,site_description
