Dataset_ID,Table,Info_type,Info,Variable ,Type,Questions?,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,cec_sum (specified by cec_h_units),exchangeable_cations_sum,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,cec_h_units (extract_units),exchangeable_cations_sum,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,citation,citation,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,citation_usage,citation,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,clay_tot_psa (percent),clay,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,percent,clay,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,color,color,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,contact_email,email,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,contact_name,contact_name,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,country (country),country,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,country (country),country,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,curator_email,email,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,curator_email,email,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,curator_name,curator_name,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,curator_name,curator_name,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,curator_organization,curator_organization,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,curator_organization,curator_organization,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,NA,column,NA,data_collection,value_string,???,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,dataset_description,dataset_description,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,dataset_name,dataset_name,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,dataset_name,dataset_name,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,dataset_name_sub,dataset_name,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,dataset_name_sub,dataset_name,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,dataset_type (dataset_type),dataset_type,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,dataset_type (dataset_type),dataset_type,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,datum (datum),datum,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,datum (datum),datum,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,datum ,datum,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,drainagecl (drainage),drainage_class,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,ecec (specified by cec_h_units),effective_cation_exchange_capacity,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,cec_h_units (extract_units),effective_cation_exchange_capacity,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,ecoregion,ecoregion,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,elevation (m),elevation,value_num ,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,m,elevation,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,fe_dith (specified by al_fe_units),fe_dith,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),fe_dith,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,fe_dith,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,fe_other (specified by al_fe_units),fe_other,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),fe_other,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,fe_other,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,fe_ox (specified by al_fe_units),fe_ox,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),fe_ox,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,fe_ox,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,fraction_modern,fraction_modern,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,fraction_modern_sigma,fraction_modern,sigma,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,h_ext (specified by metal_ext_units),h_ext,value_num,,,,,,,,,,,,,,,,,,,,,
